question	choice1	choice2	choice3	choice4	answer_index	explanation	tags	importance	difficulty	is_free
クロス集計表で2つのカテゴリカル変数が独立であるとは、どのような状態を指すか。	一方の変数の分布が、もう一方の変数のカテゴリによって変わらない状態	すべてのセルの度数が同じになる状態	行合計と列合計が必ず一致する状態	一方の変数が量的変数で表される状態	1	独立とは、一方の変数を知っても他方の変数の分布に関する情報が増えない状態を指す。	s02_u03,独立性,クロス集計	1	1	TRUE
独立性を考えるとき、行ごとの割合を比較する目的として最も適切なものはどれか。	各行で列カテゴリの分布が同じかどうかを見るため	各列の合計が等しいかどうかを見るため	全体の標本数が十分大きいかを見るため	カテゴリ名が順序を持つかを見るため	1	独立であれば、行カテゴリが変わっても列カテゴリの割合分布は基本的に同じになる。	s02_u03,独立性,割合比較	1	2	TRUE
期待度数とは何を表す値か。	2つの変数が独立であると仮定したときに各セルに期待される度数	実際に観測された各セルの度数	全体の度数をセル数で単純に割った値	最も多く出現したカテゴリの度数	1	期待度数は、独立性が成り立つと仮定した場合に各セルに入ると考えられる理論上の度数である。	s02_u03,期待度数,独立性	1	1	TRUE
2×2のクロス集計表で、あるセルの期待度数を求める式として正しいものはどれか。	その行合計×その列合計÷総度数	その行合計＋その列合計−総度数	そのセルの観測度数÷総度数	総度数÷行数÷列数	1	期待度数は、行合計と列合計を掛け、総度数で割って求める。	s02_u03,期待度数,計算	1	2	TRUE
ある学校で、学年と通学方法が独立であるなら、どのような傾向が期待されるか。	各学年で通学方法の割合がほぼ同じになる	各通学方法の人数がすべて同じになる	1年生と3年生の人数が必ず同じになる	徒歩通学者が最も多くなる	1	独立であれば、学年によって通学方法の分布は変わらないと考えられる。人数ではなく割合の比較が重要である。	s02_u03,独立性,割合	1	2	TRUE
次のうち、独立性が成り立っていない可能性を最も強く示す状況はどれか。	ある行だけ、列カテゴリの割合分布が他の行と大きく異なる	すべての行合計が異なる	すべての列合計が異なる	総度数が奇数である	1	独立性の判断では、行合計や列合計の大小ではなく、条件付き割合分布が異なるかを見る。	s02_u03,独立性,条件付き割合	2	2	TRUE
あるセルの観測度数が期待度数よりかなり大きい場合、そのセルについて最も適切にいえることはどれか。	独立を仮定したときより、その組合せが多く観測されている	必ず入力ミスがある	その行と列は完全に独立である	そのセルは分析から除外すべきである	1	観測度数が期待度数より大きい場合、独立を仮定した場合よりその組合せが多いことを意味する。	s02_u03,観測度数,期待度数	2	2	TRUE
独立性の確認で期待度数を使う理由として最も適切なものはどれか。	独立である場合にどの程度の度数になるかという基準を作るため	観測度数を必ず整数に直すため	カテゴリの数を減らすため	標本数を増やすため	1	期待度数は、独立性を仮定した場合の基準値である。観測度数と比べることで、独立からのずれを考えられる。	s02_u03,期待度数,基準	1	2	TRUE
独立性の判断において、周辺度数とは何を指すか。	行合計や列合計の度数	各セルの観測度数	期待度数から観測度数を引いた値	割合を百分率で表した値	1	周辺度数とは、クロス集計表の端に示される行合計・列合計のことであり、期待度数の計算にも用いられる。	s02_u03,周辺度数,クロス集計	2	1	TRUE
独立性を直観的に判断するときに、度数そのものだけを見ると誤りやすい理由として最も適切なものはどれか。	行合計や列合計の大きさの影響を受けるから	度数はカテゴリカルデータでは使えないから	度数は必ず小数になるから	度数を見ると期待度数を計算できないから	1	度数そのものは周辺度数の影響を受ける。独立性を見るには、割合や期待度数との比較が必要である。	s02_u03,度数,周辺度数	1	3	FALSE
あるクロス集計表で、全体ではAを選んだ割合が60%だった。独立であれば、各行におけるAの期待される割合はどう考えるのが自然か。	各行でもおおむね60%になる	各行で必ず50%になる	人数の多い行ほど100%に近づく	行ごとに自由に異なる割合になる	1	独立であれば、行カテゴリによってAを選ぶ割合は変わらないため、各行でも全体割合と同程度になると考える。	s02_u03,独立性,期待割合	2	2	FALSE
あるクロス集計表で、観測度数と期待度数がどのセルでもほぼ一致していた。このときの解釈として最も適切なものはどれか。	2つの変数は独立であると考えても大きな無理はない	2つの変数には必ず強い因果関係がある	すべてのカテゴリの人数が等しい	標本数が不足しているため判断できない	1	観測度数が期待度数に近い場合、独立を仮定した分布から大きく外れていないと考えられる。ただし厳密な判断には検定が必要である。	s02_u03,期待度数,独立性	1	2	FALSE
独立であると仮定して期待度数を計算するとき、固定されているものとして考える値はどれか。	行合計・列合計・総度数	各セルの観測度数	各セルの割合だけ	最も大きいセルの度数	1	期待度数は、観測された行合計・列合計・総度数を基準に、独立なら各セルがどうなるかを計算する。	s02_u03,期待度数,周辺度数	1	3	FALSE
総度数200人、ある行の合計が50人、ある列の合計が80人である。このセルの期待度数はいくつか。	20人	25人	40人	130人	1	期待度数は50×80÷200=20人である。	s02_u03,期待度数,計算	1	2	FALSE
ある2×2表で、期待度数より観測度数が大きいセルと小さいセルがある。この状況について最も適切な説明はどれか。	独立を仮定した分布から、組合せによって多い・少ないのずれがある	期待度数の計算が必ず間違っている	行合計と列合計が存在しない	どのセルも同じ割合である	1	観測度数と期待度数の差は、独立を仮定した場合からのずれを示す。	s02_u03,観測度数,期待度数	1	3	FALSE
独立性を考える場面として最も適切なものはどれか。	性別と支持する選択肢の間に関係があるかを調べる	身長の平均値を1つだけ求める	テスト得点の中央値を求める	1つの量的変数の標準偏差を求める	1	独立性は、2つのカテゴリカル変数の間に関係があるかを調べるときに考える。	s02_u03,独立性,カテゴリカルデータ	2	1	FALSE
行ごとの割合は似ているが、行合計の人数が大きく異なるクロス集計表があった。このときの判断として最も適切なものはどれか。	人数の差だけで関係があるとはいえず、割合の類似性を見る必要がある	行合計が異なるので必ず独立ではない	人数が多い行だけを使って判断すればよい	割合が似ていても必ず因果関係がある	1	独立性では、周辺度数の違いではなく、条件付き割合の分布が変わるかを見る。	s02_u03,割合比較,独立性	1	3	FALSE
クロス集計表で関係があると判断する際の注意として最も適切なものはどれか。	割合や期待度数との差を根拠にし、度数の大小だけで判断しない	最も大きいセルだけを見れば十分である	行合計が大きいほど必ず関係が強い	カテゴリ名に意味があれば必ず関係がある	1	度数の大小は周辺度数の影響を受けるため、それだけでは関係の有無を判断しにくい。割合や期待度数との比較が必要である。	s02_u03,独立性,判断	1	3	FALSE
独立性が成り立つ場合、条件付き割合について最も適切にいえることはどれか。	一方のカテゴリで条件をつけても、他方の割合分布はほぼ変わらない	条件をつけると必ず割合が大きく変わる	すべてのセルの観測度数が同じになる	行合計と列合計が等しくなる	1	独立とは、一方の変数のカテゴリで条件をつけても、他方の変数の割合分布が変わらない状態である。	s02_u03,条件付き割合,独立性	1	2	FALSE
期待度数を使った考え方が、後の独立性の検定につながる理由として最も適切なものはどれか。	観測度数が独立を仮定した期待度数からどれだけずれているかを評価するため	観測度数をすべて同じ値に変換するため	カテゴリカルデータを量的データに変えるため	標本数を必ず増やすため	1	独立性の検定では、観測度数と期待度数のずれの大きさを評価する。期待度数はその基準となる。	s02_u03,期待度数,独立性の検定	1	3	FALSE
